,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
8945,Jobspring Partners,Data Analyst,Boston,MA,75000.0,110000.0,92500.0
8963,The Bivium Group,"Data Scientist - healthcare, hacking coding skills",Cambridge,MA,90000.0,140000.0,115000.0
8965,Harnham,"DATA SCIENTIST, WORLD-CLASS CONSULTANCY ROLE",Boston,MA,145000.0,,145000.0
8992,Harnham,"DATA SCIENTIST, HEALTHCARE",Boston,MA,130000.0,,130000.0
9050,Harnham,"DATA SCIENTIST TEAM MANAGER, CUTTING EDGE TECH BUSINESS",Cambridge,MA,180000.0,,180000.0
9053,Harnham,"DATA SCIENTIST, ECOMMERCE ANALYTICS",Boston,MA,160000.0,,160000.0
9067,MaxMind,Data Scientist,Waltham,MA,100000.0,,100000.0
9070,Strategic Employment Partners,Data Scientist,Boston,MA,170000.0,,170000.0
9082,Jobspring Partners,Data Scientist/Engineer,Cambridge,MA,90000.0,120000.0,105000.0
9085,Rifiniti,Assistant to the President,Boston,MA,55000.0,,55000.0
9178,Commonwealth of Massachusetts,Research Data Analyst,Boston,MA,65232.0,92625.0,78928.5
9208,Domeyard LP,HPC Scientist at HFT Hedge Fund,Boston,MA,120000.0,,120000.0
9222,Commonwealth of Massachusetts,Research Analyst III,Boston,MA,55017.0,78763.0,66890.0
9276,"NewAgeSys,Inc",Scientist (PFIZER),Andover,MA,45000.0,,45000.0
9314,US Engineering Technical Services,Data Analyst,Wilmington,MA,110000.0,,110000.0
9335,The Bivium Group,Software Engineers (junior to mid-level) Python/Flask/Angula...,Boston,MA,80000.0,130000.0,105000.0
9344,Northeastern University,Research Scientist,Boston,MA,60000.0,,60000.0
9351,MaxMind,Data Scientist,Waltham,MA,100000.0,,100000.0
9354,Strategic Employment Partners,Data Scientist,Boston,MA,170000.0,,170000.0
9369,"Engineering Resource Group, Inc.",Lead Machine Learning Data Analyst,Boston,MA,85000.0,110000.0,97500.0
9395,The Bivium Group,"Data Engineer - Big Data Services, AWS",Cambridge,MA,110000.0,140000.0,125000.0
9426,MaxMind,Data Scientist,Waltham,MA,100000.0,,100000.0
9429,Strategic Employment Partners,Data Scientist,Boston,MA,170000.0,,170000.0
9545,Selby Jennings,Catastrophe Risk Analyst - Quantitative,Boston,MA,75000.0,120000.0,97500.0
9590,LIBERTY MUTUAL GROUP,"Assistant Director, Predictive Modeling",Boston,MA,108900.0,161000.0,134950.0
9609,LIBERTY MUTUAL GROUP,Senior Software Developer,Boston,MA,98800.0,126700.0,112750.0
9639,Selby Jennings,Quantitative Analyst - Multiple Vacancies,Dallas,TX,150000.0,,150000.0
9729,Boy Scouts of America,Senior Statistical Data Coordinator,Irving,TX,45000.0,55000.0,50000.0
9757,University of Texas at Dallas,Research Scientist,Richardson,TX,46000.0,50000.0,48000.0
9764,All-In Analytics,Senior Marketing Data Scientist,Dallas,TX,80000.0,100000.0,90000.0
9772,NextStep Recruiting,Pricing and Quantitative Analyst,Irving,TX,85000.0,,85000.0
9806,Selby Jennings,Catastrophe Risk Analyst - Quantitative,Dallas,TX,75000.0,120000.0,97500.0
10379,Baylor College of Medicine,Senior Research Policy Analyst,Houston,TX,72000.0,,72000.0
10391,Baylor College of Medicine,Sr. Bioinformatics Programmer,Houston,TX,70000.0,91000.0,80500.0
10396,Baylor College of Medicine,Lead Bioinformatics Programmer,Houston,TX,83000.0,102000.0,92500.0
10397,Baylor College of Medicine,Research Financial Analyst II,Houston,TX,65000.0,,65000.0
10406,SearchAccountingJobs,Quantitative Risk Analyst,Houston,TX,150000.0,205000.0,177500.0
10486,Selby Jennings,Catastrophe Risk Analyst - Quantitative,Houston,TX,75000.0,120000.0,97500.0
10487,Selby Jennings,Senior Predictive Modeling Actuary,Houston,TX,70000.0,130000.0,100000.0
10510,Rekruiters,C++ Software Engineer,Houston,TX,250000.0,,250000.0
11102,Dashbot.io,Data Engineer and Scientist,SanFrancisco,CA,160000.0,180000.0,170000.0
11109,MaxMind,Data Scientist,Waltham,MA,100000.0,,100000.0
11114,Central Intelligence Agency,Data Scientist,Washington,DC,62338.0,160300.0,111319.0
11117,Intechriti,Data Scientist (IoT Network Security),SanJose,CA,160000.0,,160000.0
11128,Metropolitan Council,Data Scientist,Minneapolis,MN,68078.0,96595.0,82336.5
11132,"Gunther Douglas, Inc.",Data Scientist,Superior,CO,95000.0,130000.0,112500.0
11160,Health Research Incorporated,Research Scientist II,Albany,NY,66244.0,,66244.0
11172,Rang Technologies Inc.,Data Scientist,Piscataway,NJ,80000.0,,80000.0
11222,Oscar Technology,Jr Data Scientist - Healthcare/Insurance,Jacksonville,FL,110000.0,,110000.0
11251,University of Virginia Health System,Data Scientist Intermediate,Charlottesville,VA,73445.0,117520.0,95482.5
11264,Commonwealth of Kentucky,ENVIRONMENTAL SCIENTIST II,FranklinCounty,KY,32042.0,42656.0,37349.0
11265,Strategic Employment Partners,Data Scientist,Boston,MA,170000.0,,170000.0
11280,Analytic Recruiting,Data Scientist,Madison,WI,100000.0,171000.0,135500.0
11297,DEPARTMENT OF FINANCE,Data Analyst/Modeler,Brooklyn,NY,70286.0,80829.0,75557.5
11319,"NewAgeSys,Inc",Biochemist (Scientist II) Merck,Kenilworth,NJ,50000.0,,50000.0
11321,Sorenson Impact Center,Data Scientist,SaltLakeCity,UT,60000.0,,60000.0
11325,Federal Emergency Management Agency,Physical Scientist,Oakland,CA,84302.0,109592.0,96947.0
11349,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
11353,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Environmental Sciences an...",Queens,NY,59708.0,72246.0,65977.0
11383,Bayone Solutions Inc.,Data Scientist - Recommendation Engine,SanFrancisco,CA,160000.0,,160000.0
11386,Driversiti,Full-Stack Dev Data Viz - Pythonic Design,RochellePark,NJ,100000.0,,100000.0
11401,The Forum Group,Sr. Quantitative Analyst,WhitePlains,NY,130000.0,,130000.0
11410,Johns Hopkins University,Research Data Analyst,Baltimore,MD,42168.0,58056.0,50112.0
11432,DEPT OF HEALTH/MENTAL HYGIENE,"Statistical Data Analyst, Disease Control Administration",Queens,NY,57969.0,70142.0,64055.5
11441,tronc (formerly Tribune Publishing),Social Media Marketing Data Analyst,LosAngeles,CA,60000.0,70000.0,65000.0
11444,Millingham Consulting,Senior Research Analyst (Connected Car),AnnArbor,MI,110000.0,,110000.0
11445,FIS Global,RISC Business Analyst II - data analysis,Voorhees,NJ,55000.0,,55000.0
11456,Spectrum Careers,Data Scientist,Washington,DC,130000.0,,130000.0
11474,AIR FORCE,Physical Scientist,BealeAFB,CA,32318.0,152593.0,92455.5
11487,"NewAgeSys,Inc",Scientist II (Pfizer),Parsippany,NJ,55000.0,,55000.0
11488,Nisum Technologies,Big Data Talend Developer,SanFrancisco,CA,140000.0,,140000.0
11491,Wade & Wendy,Wade & Wendy_Data Scientist/Engineer,NewYork,NY,80000.0,120000.0,100000.0
11522,Centers for Disease Control and Prevention,Behavioral Scientist,Atlanta,GA,74260.0,96538.0,85399.0
11534,Workbridge Associates,Senior Data Scientist,Chicago,IL,130000.0,,130000.0
11544,Office of the State Superintendent of Education,Education Research Analyst,Washington,DC,81050.0,104423.0,92736.5
11567,Oliver James Associates,"Program Manager - Data Science - New York City - $165,000",NewYork,NY,165000.0,,165000.0
11637,University of Michigan,Morphomics Research CT Analyst,AnnArbor,MI,55000.0,60000.0,57500.0
11640,PGP International,Regulatory Compliance Specialist,Woodland,CA,55000.0,,55000.0
11677,"County of Contra Costa, California",CLINICAL LABORATORY SCIENTIST II,ContraCostaCounty,CA,83297.0,101247.0,92272.0
11699,Umpqua Bank,Pivotus Ventures - Data Scientist - Palo Alto,PaloAlto,CA,100000.0,160000.0,130000.0
11712,Workbridge Associates,Data Scientist,Chicago,IL,130000.0,,130000.0
11731,Dashbot.io,Data Engineer and Scientist,SanFrancisco,CA,160000.0,180000.0,170000.0
11759,University of Nebraska,Media Research Analyst,Lincoln,NE,48000.0,,48000.0
11761,Analytic Recruiting,Junior Data Scientist,Alpharetta,GA,75000.0,90000.0,82500.0
11770,Central Intelligence Agency,Applications Developer,Washington,DC,58776.0,113650.0,86213.0
11783,Stony Brook University,Clinical Research Informatics Analyst,StonyBrook,NY,80000.0,95000.0,87500.0
11801,Smith Hanley Associates,Marketing Statistician,Atlanta,GA,75000.0,100000.0,87500.0
11832,LT,Senior Data Scientist,LosAngeles,CA,180000.0,,180000.0
