,Company Name,Job Title,Location,Salary
90,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
91,Cox Automotive,Data Scientist,"Atlanta, GA",
92,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
93,Honeywell,"Sr Data Engineer - Atlanta, GA","Atlanta, GA",
94,Target MarkeTeam,"Data Analyst, Predictive Modeling","Atlanta, GA",
95,AB Sciex Pte,Analyst II Project Management,"Atlanta, GA",
96,"Beckman Coulter, Inc.",Analyst II Project Management,"Atlanta, GA",
97,Keysight Technologies,"Project Manager, Machine Learning and Analytics Research","Atlanta, GA",
98,Stackfolio,Lead Data Scientist,"Atlanta, GA 30308 (Old Fourth Ward area)","$80,000 a year"
99,AMERICAN CANCER SOCIETY,Program Assistant,"Atlanta, GA",
100,Pivotal Software,Sr. Data Scientist,"Atlanta, GA",
101,Northrop Grumman,Health Research Analyst 2,"Atlanta, GA",
102,TEGNA,Research Analyst,"Atlanta, GA",
103,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
104,Predictive Science,Data Scientist,United States,
105,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
106,Cox Automotive,Data Scientist,"Atlanta, GA",
107,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
108,Georgia Tech,Research Security Coordinator II,"Atlanta, GA",
109,Macy's,Sr. Data Scientist,"Atlanta, GA",
110,R&D Partners,Formulations Researcher,"Atlanta, GA",
111,GE Power,IT Project Manager – Buyer Portal,"Atlanta, GA",
112,Northrop Grumman,Data Manager,"Atlanta, GA",
113,Deloitte,Advanced Analytics Enablement Big Data Manager,"Atlanta, GA",
114,Lonza,"Sr. Scientist, Upstream Technology – Formulation Additives","Alpharetta, GA",
115,Lonza,Senior Scientist -ICMS,"Alpharetta, GA",
116,State Farm Mutual Automobile Insurance Company,Research Statistician,"Atlanta, GA",
117,Arcadis:US,Entry-Level Water Engineer,"Atlanta, GA",
118,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
119,Predictive Science,Data Scientist,United States,
120,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
121,Cox Automotive,Data Scientist,"Atlanta, GA",
122,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
123,"Intercontinental Exchange, Inc.",Quantitative Analyst (5051),"Atlanta, GA 30328",
124,Georgia Tech Research Institute,Computer Science (Entry Level) - ELSYS 1226,"Atlanta, GA 30318 (Rockdale area)",
125,Capgemini,Sr. Consultant - Data Science,"Atlanta, GA",
126,"IHRC, Inc.",Statistician,"Atlanta, GA 30346",
127,Deloitte,Insurance AAE Big Data Senior Consultant,"Atlanta, GA",
128,ADP,IT Operations I,"Alpharetta, GA 30005",
129,Analytic Recruiting,Data Scientist - Supply Chain,"Atlanta, GA","$70,000 - $145,000 a year"
130,Emory University,Staff Scientist (Goldsmith Lab),"Atlanta, GA","$85,500 a year"
131,ICF,Senior Public Health Scientists - Senior Project Managers,"Atlanta, GA",
132,Emory University,Assistant Professor -TT - Signal Processing & Machine Learni...,"Atlanta, GA",
133,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
