,Company Name,Job Title,Location,Salary
2130,Howard Hughes Medical Institute,Research Technician I,"New York, NY",
2131,NYU Langone Medical Center,Revenue Cycle Analyst,"New York, NY",
2132,Google,"Quantitative Analyst Intern, Summer 2017","New York, NY 10011 (Chelsea area)",
2133,BioBus,Program Coordinator,"New York, NY",
2134,IBM Kenexa,Digital & Performance Marketing Professional - Analytics and...,"New York, NY",
2135,Prudential,CLO Research Analyst,"Newark, NJ 07102",
2136,Bloomberg,Machine Learning Quantitative Analyst,"New York, NY",
2137,Indeed,Data Engineer,"New York, NY 10036",
2138,Predictive Science,Data Scientist,United States,
2139,Indeed,Data Engineer,"New York, NY 10036",
2140,Prudential,CLO Research Analyst,"Newark, NJ",
2141,"NewAgeSys,Inc",Biochemist (Scientist II) Merck,"Kenilworth, NJ","$50,000 a year"
2142,Honeywell,Analytics Implementation Lead,"Morris Plains, NJ 07950",
2143,Merck,"Sr. Scientist, Statistical Programming Job","Rahway, NJ",
2144,Jet,Big Data Engineer,"Hoboken, NJ",
2145,Rang Technologies Inc.,Data Scientist,"Piscataway, NJ 08854","$80,000 a year"
2146,Merck,Image Data Scientist Intern (MS or PhD students only) Job,"Rahway, NJ",
2147,Jet,Data Engineer,"Hoboken, NJ",
2148,Bayerjobs.com,Senior Associate Scientist,"Morristown, NJ",
2149,FIS,Senior Data Scientist,"New York, NY 10034 (Inwood area)",
2150,Prudential,CLO Research Analyst,"Newark, NJ 07102",
2151,Bloomberg,Machine Learning Quantitative Analyst,"New York, NY",
2152,Indeed Prime,Data Scientist,"New York, NY",
2153,Predictive Science,Data Scientist,United States,
2154,Indeed,Data Engineer,"New York, NY 10036",
2155,QED National,"Business Analyst w/ Forensic Data Analysis exp, NYC gov!","New York, NY",
2156,Kate Spade & Company,Senior Analytics Manager,"New York, NY",
2157,DEPT OF ENVIRONMENT PROTECTION,Water Demand Projections Manager,"New York, NY","$59,708 - $72,246 a year"
2158,Averity,Tableau Developer for Global Organization,"New York, NY","$70,000 - $90,000 a year"
2159,Averity,Senior Data Scientist for Global Travel Company,"New York, NY","$100,000 - $120,000 a year"
2160,New York Life Insurance Co,"CORPORATE VICE PRESIDENT, Program Management","New York, NY",
2161,inVentiv Health Clinical,Clinical Scientist/Medical Writer,"Summit, NJ",
2162,Weill Cornell Medical College,Senior Research Aide,"New York, NY",
2163,Oasis Technology Inc,Senior Statistical Programmer,"Morristown, NJ",
2164,Wunderman,Senior Analyst,"New York, NY 10017 (Midtown area)",
2165,Prudential,CLO Research Analyst,"Newark, NJ 07102",
2166,Bloomberg,Machine Learning Quantitative Analyst,"New York, NY",
2167,Indeed Prime,Data Scientist,"New York, NY",
2168,Indeed,Data Engineer,"New York, NY 10036",
2169,Prudential,CLO Research Analyst,"Newark, NJ 07102",
2170,BuzzFeed,Director of Data Science,"New York, NY",
2171,Paltalk,Senior Business Intelligence/Data Scientist,"New York, NY 10018 (Clinton area)",
2172,VISITING NURSE SERVICE OF NEW YORK,Statistical Analyst - Bundled Payments,"Manhattan, NY",
2173,NYU Langone Medical Center,Social Worker,"New York, NY",
2174,Newsela,Director of Data Science,"New York, NY",
2175,Lux Research,Sensor Technology Analyst,"New York, NY",
2176,NYU Langone Medical Center,Program Coordinator,"New York, NY",
2177,ETS Inc.,Statistician (SAS / SQL),"Elizabeth, NJ","$115,000 a year"
2178,The James Allen Companies,Principal Predictive Modeler/Data Scientist - Insurance Anal...,"Jersey City, NJ",
2179,GroupM,Planning Associate,"New York, NY",
2180,Bloomberg,Machine Learning Quantitative Analyst,"New York, NY",
2181,Indeed Prime,Data Scientist,"New York, NY",
2182,Predictive Science,Data Scientist,United States,
2183,Prudential,CLO Research Analyst,"Newark, NJ 07102",
2184,Bloomberg,Machine Learning Quantitative Analyst,"New York, NY",
2185,NYU Langone Medical Center,Manager - Creative Services,"New York, NY",
2186,Averity,Senior Systematic Quantitative Analyst - Multi-billion Dolla...,"New York, NY","$180,000 - $220,000 a year"
2187,Michael Page US,Quantitative Analyst,"New York, NY",
2188,On-Board Services,Scientist (Cell Based Assays),"Rahway, NJ",
2189,New York Genome Center,"Bioinformatics Analyst, Cancer","New York, NY 10013 (Tribeca area)",
2190,MTK Resources (Contract),Market Analyst/ Research Assistant,"Manhattan, NY",$18 an hour
2191,S&P Global Ratings,Director - Innovation Lab Data Scientist,"New York, NY 10002 (Lower East Side area)",
2192,ADP,Storage Admin,"Roseland, NJ 07068",
2193,NBA,"Senior Director, Data Intelligence","New York, NY",
2194,IBM,Digital & Performance Marketing Professional - Analytics and...,"New York, NY",
2195,Indeed Prime,Data Scientist,"New York, NY",
2196,Indeed,Data Engineer,"New York, NY 10036",
2197,Predictive Science,Data Scientist,United States,
2198,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2199,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2200,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2201,Aetna,Data Analysis Associate,"Chicago, IL",
2202,krg technology inc,Statistical or Data Analyst,"Chicago, IL",
2203,Google,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...","Chicago, IL",
2204,Grubhub,Lead Data Scientist,"Chicago, IL 60602 (Loop area)",
2205,Jobspring Partners,Data Scientist,"Chicago, IL",$50 - $70 an hour
2206,Sprout Social,Sr. Data Analyst - Conversion,"Chicago, IL 60622 (West Town area)",
2207,Workbridge Associates,Senior Data Scientist,"Chicago, IL","$130,000 a year"
2208,"Truven Health Analytics, an IBM Company",Sr. Director Predictive Modeling,"Chicago, IL",
2209,UnitedHealth Group,Senior Research Consultant (Data Scientist) - Multiple Locat...,"Chicago, IL",
2210,GE Transportation,Senior Staff Data Scientist,"Chicago, IL",
2211,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2212,Predictive Science,Data Scientist,United States,
2213,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2214,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2215,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2216,Marquette Associates Inc,Research Data Analyst,"Chicago, IL 60601 (Loop area)",
2217,Workbridge Associates,Data Scientist,"Chicago, IL","$130,000 a year"
2218,Kaplan,Senior Data Scientist,"Chicago, IL",
2219,CNA Insurance,VP Data Analytics,"Chicago, IL 60604 (Loop area)",
2220,Abbott,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2221,Walgreens,Senior Data Scientist,"Deerfield, IL",
2222,Arcadis:US,Business Analyst,"Chicago, IL",
2223,e.biT,Principal Data Scientist - 16-00217,"Chicago, IL",
2224,University of Illinois at Chicago,Senior Research Statistician,"Chicago, IL 60608 (Lower West Side area)",
2225,The Boston Consulting Group,Knowledge Analyst - Data Engineering,"Chicago, IL 60654 (Loop area)",
2226,Predictive Science,Data Scientist,United States,
2227,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2228,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2229,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2230,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2231,Orb IT People,Statistical Analyst- IL,"Chicago, IL 60601 (Loop area)",
2232,Deutsche Bank,Quantitative Analyst,"Chicago, IL",
2233,Marquette Associates Inc,Senior Research Analyst,"Chicago, IL 60601 (Loop area)",
2234,UnitedHealth Group,"Senior Research Consultant - Data Scientist - Chicago, IL or...","Chicago, IL",
2235,GE Transportation,Lead Data Scientist - Video/Images,"Chicago, IL",
2236,Northwestern University,Senior Statistical Analyst,"Chicago, IL",
2237,KPMG,Data Visualization Software Engineer,"Chicago, IL 60601 (Loop area)",
2238,American Dental Association,Research Testing Analyst - SAS,"Chicago, IL 60611 (Near North Side area)",
2239,Verisk Insurance Solutions,Senior Data Scientist,"Chicago, IL",
2240,Jobspring Partners,Natural Language Processing Data Scientist,"Chicago, IL","$65,000 - $80,000 a year"
2241,Predictive Science,Data Scientist,United States,
2242,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2243,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2244,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2245,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2246,Noble Network of Charter Schools,Manager of Data Analysis & Integration,"Chicago, IL",
2247,Fifth Third Bank,Quantitative Analyst - Credit Risk,"Chicago, IL",
2248,InContext Solutions,Research Analyst,"Chicago, IL",
2249,Northwestern University,Research Data Analyst,"Chicago, IL",
2250,YMCA of Metropolitan Chicago,Prospect Management and Research Analyst,"Chicago, IL",
2251,BMO Financial Group,Quantitative Analyst – Stress Testing,"Chicago, IL",
2252,"Truven Health Analytics, an IBM Company",Senior Research Analyst,"Chicago, IL",
2253,Selby Jennings,Senior Data Scientist,"Chicago, IL","$125,000 - $175,000 a year"
2254,National Opinion Research Center (NORC),Senior Data Scientist,"Chicago, IL",
2255,Sg2,Research Associate (Patient Flow Analyst),"Skokie, IL 60077",
2256,Predictive Science,Data Scientist,United States,
2257,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2258,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2259,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2260,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2261,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2262,National Collegiate Scouting Association,Senior Data Scientist,"Chicago, IL 60642 (Portage Park area)",
2263,West Monroe Partners,Lead Data Scientist,"Chicago, IL 60606 (Loop area)",
2264,SpotHero,Senior Data Engineer,"Chicago, IL",
2265,GE Transportation,Senior Data Scientist,"Chicago, IL",
2266,C R Research Services,Quantitative Research Analyst,"Chicago, IL",
2267,Civis Analytics,Senior Data Scientist - Engineering,"Chicago, IL",
2268,Bobit Business Media,Marketing Research Analyst,"Chicago, IL",
2269,Abbott,Sr Scientist,"Des Plaines, IL",
2270,NexLP,Product Analyst Intern,"Chicago, IL",
2271,Predictive Science,Data Scientist,United States,
2272,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2273,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2274,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2275,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2276,University of Chicago,CME Project Coordinator,"Chicago, IL",
2277,Market Track,Senior Research Analyst,"Chicago, IL 60290 (Loop area)",
2278,McKinsey & Company,Product Manager - New Ventures Technology Emerging Solutions,"Chicago, IL",
2279,"Southern Graphic Systems, LLC",Research & Brand Analyst,"Chicago, IL",
2280,Ann & Robert Lurie Children's Hospital of Chicago,"Post-Doctoral Associate, Human Molecular Genetics","Chicago, IL",
2281,Workbridge Associates,Director of Data Science,"Chicago, IL","$180,000 a year"
2282,Axius Technologies,Quantitative Analyst,"Chicago, IL",
2283,Euromonitor International,Research Associate/Analyst - LATAM,"Chicago, IL 60604 (Loop area)",
2284,University of Chicago,"Exec Dir, Strategic Analytics & Data Intelligence","Chicago, IL",
2285,Trunk Club,Director of Data Science,"Chicago, IL 60654 (Loop area)",
2286,Predictive Science,Data Scientist,United States,
2287,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2288,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2289,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2290,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2291,ABBOTT LABORATORIES,Sr Scientist,"Des Plaines, IL",
2292,Illinois Technology Association,GrubHub - Data Engineer,"Chicago, IL",
2293,"Truven Health Analytics, an IBM Company",Research Analyst II - Child and Maternal Health,"Chicago, IL",
2294,University of Chicago,"Analyst, Prospect Research","Chicago, IL",
2295,Kelton Global,"Senior Analyst, Quantitative Research","Chicago, IL",
2296,Allstate Insurance,Junior Data Scientist,"Northbrook, IL 60062",
2297,Next Step Systems,Quantitative Analyst,"Chicago, IL",
2298,"Truven Health Analytics, Inc. & Simpler Consulting",Sr. Healthcare Analyst-Content Quality,"Chicago, IL 60602 (Loop area)",
2299,All-In Analytics,Head of Machine Learning Big Data,"Chicago, IL",
2300,Next Step Systems,Quantitative Research Analyst,"Chicago, IL",
2301,Predictive Science,Data Scientist,United States,
2302,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2303,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2304,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2305,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2306,National Opinion Research Center (NORC),Senior Statistician,"Chicago, IL",
2307,Chicago Mercantile Exchange,Sr. Quantitative Risk Management Analyst,"Chicago, IL",
2308,University of Chicago,Compliance Audit Analyst,"Chicago, IL",
2309,Workbridge Associates,Lead Data Scientist,"Chicago, IL 60603 (Loop area)",$90 an hour
2310,Ipsos North America,Connect - Senior Research Analyst,"Chicago, IL",
2311,University of Chicago,Data Quality Engineer,"Chicago, IL",
2312,Northwestern University,Statistical Analyst,"Chicago, IL",
2313,PPD,"Senior Scientist - HPLC , Dissolution - Based in Portage , I...","Chicago, IL",
2314,Raise Marketplace Inc.,Senior Data Warehouse Engineer,"Chicago, IL 60603 (Loop area)",
2315,Modis,Statistical Data Analyst- Long-term Contract in Northbrook!,"Northbrook, IL 60062",$25 - $35 an hour
2316,Predictive Science,Data Scientist,United States,
2317,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2318,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2319,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2320,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2321,Ipsos North America,Market Research Analyst - Analyst Development Program,"Chicago, IL",
2322,Civis Analytics,Chief Technology Officer,"Chicago, IL",
2323,AstraZeneca,Pharmaceutical Sales Specialist,"Chicago, IL",
2324,Northwestern University,Developer,"Chicago, IL",
2325,Mintel,Research Analyst - Beverage,"Chicago, IL",
2326,MB Financial,Capital Stress Test - Quantitative Analyst,"Rosemont, IL",
2327,BMO Financial Group,Quantitative Analyst,"Chicago, IL",
2328,Deloitte,Advanced Analytics Enablement Big Data Senior Consultant,"Chicago, IL 60606 (Loop area)",
2329,University of Chicago,Research Specialist 2,"Chicago, IL",
2330,Metropolitan Water Reclamation District of Greater...,Senior Environmental Soil Scientist,"Chicago, IL","$93,257 - $137,114 a year"
2331,Predictive Science,Data Scientist,United States,
2332,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2333,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2334,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2335,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2336,Northwestern University,Research Data Analyst Associate,"Evanston, IL",
2337,Northwestern University,Senior Research Data Analyst,"Chicago, IL",
2338,Raise Marketplace Inc.,Data Engineer,"Chicago, IL 60603 (Loop area)",
2339,University of Chicago,Research Data Analyst,"Chicago, IL",
2340,Hirewell,Data Scientist,"Chicago, IL","$85,000 a year"
2341,SpotHero,Senior Software Engineer in Data,"Chicago, IL",
2342,Caterpillar,Senior Machine Learning Engineer,"Chicago, IL 60606 (Loop area)",
2343,NCSA Athletic Recruiting,Senior Data Scientist,"Chicago, IL",
2344,Loyola University Health System,SYSTEMS ANALYST SR,"Maywood, IL 60153",
2345,Astellas Pharmaceuticals,"Real World Informatics and Analytics (RWI), Head of Analytic...","Northbrook, IL",
2346,Predictive Science,Data Scientist,United States,
2347,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2348,Predictive Science,Data Scientist,United States,
2349,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2350,Deutsche Bank,Research Analyst- Liquid Real Assets,"Chicago, IL",
2351,United Airlines,Senior Analyst - Statistics and Operations Research,"Chicago, IL",
2352,Walgreens,Consumer Research Analyst,"Deerfield, IL",
2353,Hirewell,Data Scientist -Fitness/Wellness Firm,"Chicago, IL","$120,000 a year"
2354,Solving IT,Lead Data Scientist,"Chicago, IL",
2355,Kantar Millward Brown,Market Research Analyst,"Chicago, IL",
2356,Kelton Global,"Analyst, Quantitative Research","Chicago, IL",
2357,Cook County Health & Hospitals System,MEDICAL TECHNOLOGIST II - JOHN H. STROGER HOSPITAL,"Chicago, IL",$24.02 an hour
2358,Silva Capital Management,Quantitative Analyst,"Chicago, IL 60611 (Near North Side area)","$125,000 a year"
2359,Workbridge Associates,Data Scientist (Healthcare Data),"Chicago, IL","$110,000 a year"
2360,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2361,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2362,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2363,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2364,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2365,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2366,Caterpillar,Machine Learning Engineer,"Chicago, IL 60606 (Loop area)",
2367,Financial Sector,Quantitative Analyst,"Wheaton, IL 60187",
2368,"PayNet, Inc.",Statistical Analyst,"Skokie, IL 60077",
2369,Mathematica Policy Research,Health Research Analyst,"Chicago, IL",
2370,BAXTER,Senior Statistician,"Deerfield, IL",
2371,Transamerica,Intermediate Research Analyst I (AAM),"Chicago, IL 60601 (Loop area)",
2372,"Eldorado Trading, LLC",Quantitative Analyst Intern,"Chicago, IL",
2373,Exponent,Associate/Senior Associate,"Chicago, IL 60661 (Near West Side area)",
2374,AE Business Solutions,Data Scientist / Data Analyst Consultant,"Chicago, IL 60601 (Loop area)",$85 - $100 a day
2375,The Climate Corporation,"Group Product Manager, Platform","Chicago, IL",
2376,Predictive Science,Data Scientist,United States,
2377,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2378,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2379,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2380,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2381,University of Chicago,Senior Statistical Geneticist,"Chicago, IL",
2382,Deloitte,Advanced Analytics Enablement Big Data Manager,"Chicago, IL 60606 (Loop area)",
2383,Abbott,"Sr. Scientist, Assay Development","Abbott Park, IL",
2384,Optiver,Data Scientists and Quantitative Researchers,"Chicago, IL",
2385,Civis Analytics,Senior Data Scientist - Unstructured Data,"Chicago, IL",
2386,James Hardie,Primary Market Research Analyst,"Chicago, IL 60604 (Loop area)",
2387,IRI,Statistical Analyst,"Chicago, IL",
2388,Northwestern University,Developer Senior,"Chicago, IL",
2389,Selby Jennings,Senior Quantitative Risk Analyst,"Chicago, IL",$120 a day
2390,Benedictine University,Senior Research Data Analyst,"Lisle, IL 60532",
2391,Predictive Science,Data Scientist,United States,
2392,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2393,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2394,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2395,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2396,Deloitte,Insurance AAE Big Data Senior Consultant,"Chicago, IL 60606 (Loop area)",
2397,University of Chicago,Cloud Computing Software Developer,"Chicago, IL",
2398,The Climate Corporation,"Product Manager, Equipment Compatibility","Chicago, IL",
2399,Northwestern University,Temporary - Part-time Research Analyst,"Evanston, IL",
2400,"Envestnet Asset Management, Inc",Quantitative Research Analyst,"Chicago, IL",
2401,Eatsa,Restaurant Manager,"Chicago, IL",
2402,University of Chicago,Research Professional Data Analyst,"Chicago, IL",
2403,Ann & Robert Lurie Children's Hospital of Chicago,Research Nurse - Allergy,"Chicago, IL",
2404,NexLP,Business Development Intern,"Chicago, IL",
2405,Civis Analytics,Applied Data Science Manager,"Chicago, IL",
2406,Predictive Science,Data Scientist,United States,
2407,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2408,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2409,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2410,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2411,Allstate Insurance,"Sr. Digital Product Manager, Data Platform","Chicago, IL 60601 (Loop area)",
2412,Civis Analytics,Data Science Research & Development Internship - Summer 2017,"Chicago, IL",
2413,eSpark,New Partnership Associate,"Chicago, IL 60607 (Near West Side area)",
2414,AMITA Health/Alexian Brothers Health System,Research Business Operations Analyst,"Arlington Heights, IL",
2415,GATX,Research Analyst Intern,"Chicago, IL 60606 (Loop area)",
2416,Ulta Beauty,"Market Research Analyst, Customer Insights","Bolingbrook, IL",
2417,American College of Surgeons,Statistician,"Chicago, IL",
2418,"Resource Systems Group, Inc.",Transit Market Research Analyst,"Chicago, IL",
2419,Analytic Recruiting,Quantitative Analyst Equity Algorithmic Trading Statistics,"Chicago, IL",
2420,University of Chicago,Research Analyst,"Chicago, IL",
2421,Predictive Science,Data Scientist,United States,
2422,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2423,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2424,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2425,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2426,University of Chicago,CRC Senior Clinical Technologist,"Chicago, IL",
2427,Allstate Insurance,Lead GIS Analyst - Autonomous Vehicle Services,"Chicago, IL 60654 (Loop area)",
2428,Verisk Analytics,Sr. Principal Data Scientist/Predictive Modeler,"Chicago, IL",
2429,Allstate Insurance,Machine Learning Engineer,"Chicago, IL",
2430,KPMG,Manager - Data Scientist,"Chicago, IL 60601 (Loop area)",
2431,Inficare,Data Scientist,"Chicago, IL",
2432,Selby Jennings,Quantitative Risk Analyst (multiple roles),"Chicago, IL",
2433,NexLP,Marketing Intern,"Chicago, IL",
2434,University of Chicago,Financial Analyst,"Chicago, IL",
2435,Marquette Associates Inc,Research Analyst,"Chicago, IL 60601 (Loop area)",
2436,Predictive Science,Data Scientist,United States,
2437,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2438,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2439,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2440,Northwestern University,Senior Developer,"Chicago, IL",
2441,Brooksource,Epic Research Analyst,"Chicago, IL",
2442,American Dental Association,Senior Research Associate - PhD,"Chicago, IL 60611 (Near North Side area)",
2443,JLL,Research Analyst-Capital Markets Group-Chicago,"Chicago, IL",
2444,Legacy.com,"Sr. Product Manager, Data Partnerships and Products","Evanston, IL",
2445,Market Track,Entry-level Market Research Analyst,"Chicago, IL 60290 (Loop area)",
2446,"Tyson Foods, Inc.",R&D Specialist - PDM Training and Development,"Chicago, IL",
2447,National Opinion Research Center (NORC),Statistician,"Chicago, IL",
2448,Exponent,Manager/Senior Manager,"Chicago, IL 60661 (Near West Side area)",
2449,Shoprunner,Director of Data Science,"Chicago, IL",
2450,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2451,Predictive Science,Data Scientist,United States,
2452,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2453,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2454,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2455,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2456,Levy Restaurant Limited Partnership,Market Research Analyst,"Chicago, IL",
2457,"Wiss, Janney, Elstner Associates",Student Intern - Architect or Engineer,"Chicago, IL",
2458,Johnson Controls,"Director, Advanced Analytics","Chicago, IL",
2459,Federal Reserve Bank of Chicago,Business Intelligence Analyst,"Chicago, IL",
2460,DePaul University,Research Engineer,"Chicago, IL 60604 (Loop area)",
2461,"National Board of Osteopathic Medical Examiners, I...",Research Statistician/Psychometrician,"Chicago, IL 60631 (Norwood Park area)",
2462,University of Chicago,Senior Bioinformatician,"Chicago, IL",
2463,GinasTechJobs.com,Associate Quantitative Research Analyst,"Chicago, IL","$180,000 a year"
2464,Korn Ferry/Futurestep,Quality Manager,"Chicago, IL",
2465,Morningstar,Director of Technology - Marketing and Brand,"Chicago, IL",
2466,Predictive Science,Data Scientist,United States,
2467,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2468,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2469,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2470,Tempus,RESEARCH ASSOCIATE - TUMOR MODELING,"Chicago, IL 60647 (Logan Square area)",
2471,Honeywell,Engineer/Scientist Sr R&D 1,"McCook, IL",
2472,Metropolitan Water Reclamation District of Greater...,Supervising Environmental Soil Scientist,"Chicago, IL","$104,674 - $151,358 a year"
2473,Selby Jennings,Data Scientist – Big Data/Artificial Intelligence,"Chicago, IL","$135,000 - $165,000 a year"
2474,Mission Measurement,Statistical Analyst (part-time or full-time contract),"Chicago, IL 60601 (Loop area)",$20 an hour
2475,Civis Analytics,Lead Devops/Systems Engineer,"Chicago, IL",
2476,Morningstar,Corporate Credit Research Analyst,"Chicago, IL",
2477,"Olam Americas, Inc.",PDI Trainee,"Chicago, IL",
2478,Citizens United for Research in Epilepsy,Manager of Media Relations and Integrated Marketing,"Chicago, IL 60654 (Loop area)",
2479,Huxley Banking & Financial Services,Quantitative Risk Analyst,"Chicago, IL","$110,000 a year"
2480,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2481,Predictive Science,Data Scientist,United States,
2482,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2483,Predictive Science,Data Scientist,United States,
2484,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2485,"Nanosphere, Inc.",Senior Regulatory Affairs Associate,"Northbrook, IL",
2486,Chamberlain Advisors,Senior Quantitative Analyst,"Chicago, IL",
2487,University of Chicago,Simulation Technical Coordinator,"Chicago, IL",
2488,Akuna Capital,Junior Quantitative Developer - Data Analysis,"Chicago, IL 60603 (Loop area)",
2489,University of Chicago,Lead Web Applications Developer,"Chicago, IL",
2490,eSpark,Event Marketing Associate,"Chicago, IL 60607 (Near West Side area)",
2491,Argonne National Laboratory,Assistant Materials Scientist-3D Visualization,"Lemont, IL",
2492,Mercy Sioux City,SYSTEMS ANALYST SR,"Maywood, IL",
2493,Civis Analytics,Data Scientist - Natural Language Processing,"Chicago, IL",
2494,Loyola University Medical Center,SYSTEMS ANALYST SR,"Maywood, IL",
2495,Allstate Insurance,Senior Data Scientist,"Chicago, IL 60601",
2496,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2497,Crowe Horwath,Data Scientist/Statistics - Applied Technology - 12729,"Chicago, IL 60606",
2498,ABBOTT LABORATORIES,Statistical Data Analyst / Programmer,"Des Plaines, IL",
2499,Purohit Navigation,Market Research Analyst,"Chicago, IL 60606",
2500,CLIN LAB COMPUTER DATA DIST Loyola University Medi...,SYSTEMS ANALYST SR,"Maywood, IL",
