,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price per Liter mean,Zip Code,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
310,3831,MADRID,8566.47,56.3583552632,8,14.8814091149,50156,691.26,4.54776315789,18.8157894737,1824.2,3624.31,2015-01-06,2016-03-29
311,3833,ATLANTIC,17016.06,157.556111111,15,13.7545855379,50022,1467.0,13.5833333333,52.65,4127.4,2004.42,2015-01-05,2016-03-28
312,3838,BETTENDORF,43016.15,164.812835249,48,15.762334428,52722,2951.25,11.3074712644,55.1159770115,9240.54,1319.05,2015-01-06,2016-03-29
313,3841,DUBUQUE,7184.5,43.2801204819,31,14.0141671196,52001,706.89,4.25837349398,14.5204819277,2267.87,7069.83,2015-01-05,2016-03-28
314,3842,BANCROFT,32827.2,101.318518519,55,17.8993913023,50517,2322.57,7.16842592593,33.8328395062,6050.89,4772.75,2015-01-07,2016-03-30
315,3845,OTHO,1860.06,97.8978947368,94,12.9162907268,50569,154.5,8.13157894737,32.7031578947,142.98,4498.38,2015-01-07,2016-03-30
316,3849,DYERSVILLE,8149.51,83.1582653061,31,16.5285325559,52040,634.55,6.475,27.8093877551,1500.73,2845.1,2015-01-05,2016-03-28
317,3853,DAVENPORT,14970.24,139.908785047,82,19.3161159909,52804,985.18,9.20728971963,46.6755140187,3194.39,11226.78,2015-01-05,2016-03-28
318,3855,STORM LAKE,7747.87,68.5652212389,11,19.6065012642,50588,524.91,4.64522123894,22.8788495575,1231.9,10155.24,2015-01-05,2016-03-28
319,3857,WAUKON,31604.56,99.6989274448,3,15.8081824603,52172,2225.12,7.01930599369,33.2765930599,4735.92,1444.26,2015-01-05,2016-03-28
320,3858,DAVENPORT,18985.81,68.7891666667,82,17.0352849742,52806,1477.66,5.35384057971,23.0050724638,4368.13,2881.2,2015-01-06,2016-03-29
321,3859,INDEPENDENCE,26230.26,194.298222222,10,14.9074144621,50644,1995.0,14.7777777778,64.844,7131.72,2028.12,2015-01-05,2016-03-28
322,3866,AMES,12133.42,173.334571429,85,18.3200170068,50010,704.7,10.0671428571,57.8002857143,1346.88,2136.12,2015-01-06,2016-03-29
323,3868,MARION,60912.54,168.732797784,57,14.2789341775,52302,4837.5,13.4002770083,56.376232687,13585.26,1611.86,2015-01-05,2016-03-28
324,3869,CORALVILLE,35050.15,51.6963864307,52,22.577636971,52241,1764.75,2.60287610619,17.252920354,7153.37,1568.36,2015-01-06,2016-03-29
325,3870,ALTOONA,9749.34,180.543333333,77,20.422292769,50009,517.5,9.58333333333,60.3766666667,1744.38,1838.82,2015-01-07,2016-03-30
326,3871,WEST DES MOINES,9398.2,180.734615385,77,19.8006639194,50266,494.7,9.51346153846,60.3261538462,2081.94,1628.24,2015-01-07,2016-03-30
327,3872,DUBUQUE,6713.22,163.737073171,31,19.5565156794,52003,360.0,8.78048780488,54.62,2026.32,11828.88,2015-01-07,2016-02-24
328,3873,CORALVILLE,17021.34,175.477731959,52,18.4603043692,52241,978.0,10.0824742268,58.5432989691,2482.68,1136.42,2015-01-13,2016-03-22
329,3876,MANSON,6387.86,69.4332608696,13,14.3289518634,50563,492.62,5.35456521739,23.1788043478,1181.42,6639.48,2015-01-07,2016-03-30
330,3877,DES MOINES,14305.82,174.461219512,77,19.9706286295,50322,762.6,9.3,58.3348780488,2928.66,2419.98,2015-03-19,2015-12-10
331,3879,SIOUX CITY,11804.84,171.084637681,97,18.9646290545,51106,651.9,9.44782608696,57.208115942,2242.56,5879.7,2015-01-05,2016-03-28
332,3880,COUNCIL BLUFFS,10512.68,219.014166667,78,22.8817286706,51503,500.1,10.41875,73.0241666667,3018.8,3366.09,2015-01-06,2016-03-29
333,3881,MARSHALLTOWN,46690.89,196.180210084,64,20.241432573,50158,2659.2,11.1731092437,65.500210084,10907.73,1474.05,2015-01-08,2016-03-31
334,3882,DAVENPORT,4969.34,54.0145652174,82,15.1606096035,52802,419.74,4.56239130435,18.0172826087,1370.95,2272.53,2015-01-05,2016-03-28
335,3886,ANAMOSA,30174.78,214.005531915,53,15.097723742,52205,2386.5,16.9255319149,71.514893617,5928.9,3216.31,2015-01-05,2016-03-28
336,3888,GRINNELL,20069.4,165.862809917,79,14.3689413617,50112,1543.5,12.7561983471,55.5123966942,4748.16,11355.66,2015-01-07,2016-03-29
337,3889,WAVERLY,21290.94,204.720576923,9,13.5321886447,50677,1888.5,18.1586538462,68.4248076923,5664.54,2209.08,2015-01-07,2016-03-30
338,3890,CEDAR RAPIDS,16125.57,30.1976966292,57,19.454343993,52405,1094.88,2.05033707865,10.0835018727,4052.72,1450.37,2015-01-27,2016-03-08
339,3891,EMMETSBURG,3875.16,168.485217391,74,15.4973913043,50536,265.5,11.5434782609,56.1782608696,1556.64,1295.76,2015-01-28,2016-03-29
340,3894,CEDAR RAPIDS,12705.42,55.7255263158,57,17.3516238046,52402,1005.58,4.41043859649,18.6109210526,2757.56,3111.35,2015-01-07,2016-03-30
341,3896,IOWA CITY,20643.38,59.3200574713,52,20.9991665635,52240,1145.98,3.29304597701,19.790316092,4474.94,3612.18,2015-01-07,2016-03-23
342,3899,WEST DES MOINES,47295.36,161.970410959,77,14.9442857143,50266,3513.0,12.0308219178,54.2038356164,9444.84,2851.27,2015-01-07,2016-03-30
343,3901,FORT DODGE,7514.0,183.268292683,94,19.6721864111,50501,422.1,10.2951219512,61.24,1957.34,1475.69,2015-01-08,2016-03-31
344,3907,MUSCATINE,8407.24,35.0301666667,70,19.8033463354,52761,537.8,2.24083333333,11.687625,2222.85,4070.1,2015-01-05,2016-03-28
345,3908,FORT MADISON,18547.2,118.135031847,56,11.504974219,52627,1725.0,10.9872611465,39.5121019108,5800.26,1625.31,2015-01-13,2015-09-02
346,3909,MELCHER-DALLAS,13171.39,93.4141134752,63,17.4551684128,50163,941.51,6.67737588652,31.1668794326,3068.1,2963.4,2015-01-13,2016-03-16
347,3910,RIVERSIDE,11935.51,172.978405797,92,23.3202691511,52327,591.25,8.56884057971,57.6768115942,3418.58,20558.16,2015-01-05,2016-03-28
348,3912,CEDAR RAPIDS,14785.72,32.8571555556,57,20.8520460926,52405,993.94,2.20875555556,10.9727111111,3958.84,4318.28,2015-01-07,2016-03-30
349,3916,OTTUMWA,7762.55,27.4295053004,90,17.1928428278,52501,610.65,2.15777385159,9.15971731449,1519.7,2958.66,2015-01-12,2016-03-21
350,3917,DAVENPORT,18041.52,63.9770212766,82,19.6295959084,52804,1252.11,4.44010638298,21.3459574468,3882.01,6179.33,2015-01-26,2016-03-21
351,3918,DAVENPORT,5308.28,62.4503529412,82,18.3285948695,52802,437.6,5.14823529412,20.8329411765,1229.99,5223.12,2015-01-07,2016-03-22
352,3920,CLINTON,14166.2,32.4912844037,23,18.6520631962,52732,1082.14,2.48197247706,10.8403440367,2716.59,11597.66,2015-01-07,2016-03-30
353,3926,IOWA CITY,72807.73,145.035318725,52,17.6724510317,52240,5504.73,10.9655976096,48.4798804781,21966.77,4605.58,2015-01-07,2016-03-30
354,3928,NORTH LIBERTY,12098.48,47.6318110236,52,20.9431628761,52317,763.8,3.00708661417,15.8989370079,3684.3,6649.5,2015-01-15,2016-03-31
355,3930,ST LUCAS,6810.42,174.626153846,33,18.8448717949,52166,394.25,10.108974359,58.2169230769,2240.58,2138.0,2015-01-07,2016-03-16
